Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20241202,New England and North West,Inverell,Outer Regional Australia,Arterial Road
20246023,Hobart,Clarence,Inner Regional Australia,Arterial Road
20241293,Central West,Forbes,Outer Regional Australia,National or State Highway
20241299,Central West,Blayney,Inner Regional Australia,National or State Highway
20244078,Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Collector Road
20243164,Gold Coast,Gold Coast,Major Cities of Australia,Local Road
20242201,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road
20241307,Central West,Lithgow,Inner Regional Australia,Sub-arterial Road
20242074,Geelong,Surf Coast,Inner Regional Australia,Sub-arterial Road
20241243,New England and North West,Moree Plains,Outer Regional Australia,National or State Highway
20247034,Darwin,Palmerston,Outer Regional Australia,Sub-arterial Road
20241260,New England and North West,Gunnedah,Outer Regional Australia,Local Road
20243004,Townsville,Townsville,Outer Regional Australia,National or State Highway
20246014,Launceston and North East,Break O'Day,Outer Regional Australia,Access road
20242024,North West,Buloke,Outer Regional Australia,Collector Road
20243169,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20243081,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20242169,North West,West Wimmera,Outer Regional Australia,Arterial Road
20241110,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Local Road
20241082,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,Arterial Road
20241159,Capital Region,Snowy Monaro,Outer Regional Australia,Sub-arterial Road
20246022,Hobart,Hobart,Inner Regional Australia,Sub-arterial Road
20241229,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Sub-arterial Road
20242026,Bendigo,Greater Bendigo,Inner Regional Australia,Sub-arterial Road
20242268,Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Local Road
20242238,Warrnambool and South West,Warrnambool,Inner Regional Australia,Local Road
20242122,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20241046,Capital Region,Goulburn Mulwaree,Inner Regional Australia,Arterial Road
20243192,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20241032,Murray,Berrigan,Inner Regional Australia,Local Road
20241031,Far West and Orana,Warren,Remote Australia,National or State Highway
20243254,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20243133,Queensland - Outback,Cook,Very Remote Australia,Local Road
20241203,Central West,Mid-Western,Outer Regional Australia,Sub-arterial Road
20243118,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20243173,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Local Road
20243199,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20244003,Adelaide - North,Salisbury,Major Cities of Australia,Collector Road
20241298,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Arterial Road
20242112,Shepparton,Moira,Inner Regional Australia,Arterial Road
20243092,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20243042,Brisbane - North,Brisbane,Major Cities of Australia,Local Road
20244005,South Australia - South East,Berri Barmera,Outer Regional Australia,Local Road
20243178,Moreton Bay - South,Moreton Bay,Major Cities of Australia,Local Road
20244050,South Australia - South East,Alexandrina,Inner Regional Australia,Collector Road
20241208,Riverina,Narrandera,Outer Regional Australia,Arterial Road
20242259,Warrnambool and South West,Glenelg,Outer Regional Australia,Arterial Road
20242212,Melbourne - Inner,Moonee Valley,Major Cities of Australia,Collector Road
20243019,Toowoomba,Toowoomba,Inner Regional Australia,Collector Road
20241036,Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
20242226,Melbourne - North East,Whittlesea,Major Cities of Australia,Local Road
20247007,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20243074,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Collector Road
20241003,New England and North West,Narrabri,Outer Regional Australia,Local Road
20241277,New England and North West,Glen Innes Severn,Outer Regional Australia,Sub-arterial Road
20241249,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Local Road
20242020,Melbourne - South East,Greater Dandenong,Major Cities of Australia,Arterial Road
20242108,Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road
20243120,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20242187,Geelong,Golden Plains,Inner Regional Australia,National or State Highway
20243116,Cairns,Cassowary Coast,Outer Regional Australia,National or State Highway
20242133,Melbourne - West,Melton,Major Cities of Australia,Sub-arterial Road
20241092,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20242121,Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
20243214,Darling Downs - Maranoa,Toowoomba,Outer Regional Australia,National or State Highway
20241118,New England and North West,Tenterfield,Outer Regional Australia,Sub-arterial Road
20243157,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20241190,Capital Region,Hilltops,Inner Regional Australia,Arterial Road
20241097,Capital Region,Goulburn Mulwaree,Inner Regional Australia,Arterial Road
20242265,Hume,Indigo,Inner Regional Australia,Arterial Road
20241250,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Arterial Road
20242200,Warrnambool and South West,Moyne,Inner Regional Australia,Sub-arterial Road
20242234,Shepparton,Campaspe,Inner Regional Australia,Local Road
20242048,Melbourne - West,Brimbank,Major Cities of Australia,Arterial Road
20242003,Shepparton,Greater Shepparton,Inner Regional Australia,Local Road
20243252,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Collector Road
20243061,Darling Downs - Maranoa,Toowoomba,Outer Regional Australia,Collector Road
20242162,Melbourne - North West,Moonee Valley,Major Cities of Australia,National or State Highway
20244071,Adelaide - South,Onkaparinga,Major Cities of Australia,National or State Highway
20241047,Sydney - Inner West,Inner West,Major Cities of Australia,Collector Road
20241205,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Arterial Road
20241024,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20242096,Melbourne - South East,Casey,Major Cities of Australia,National or State Highway
20242240,Melbourne - South East,Greater Dandenong,Major Cities of Australia,National or State Highway
20243139,Brisbane Inner City,Brisbane,Major Cities of Australia,Collector Road
20243075,Brisbane - South,Brisbane,Major Cities of Australia,Collector Road
20244051,Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
20241070,Far West and Orana,Warrumbungle,Outer Regional Australia,Arterial Road
20244079,South Australia - Outback,Whyalla,Outer Regional Australia,Local Road
20243051,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20242237,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Collector Road
20243148,Central Queensland,Rockhampton,Outer Regional Australia,National or State Highway
20242157,Melbourne - Inner,Moonee Valley,Major Cities of Australia,Sub-arterial Road
20244022,South Australia - Outback,Unincorporated SA,Remote Australia,National or State Highway
20241142,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
20241124,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20241010,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20241252,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road
20243155,Queensland - Outback,Cook,Very Remote Australia,Local Road
20243163,Central Queensland,Gladstone,Inner Regional Australia,National or State Highway
20243269,Sunshine Coast,Noosa,Inner Regional Australia,Sub-arterial Road
20243056,Queensland - Outback,Mount Isa,Remote Australia,Collector Road
20243049,Queensland - Outback,Mount Isa,Remote Australia,Local Road
20243103,Brisbane Inner City,Brisbane,Major Cities of Australia,Pedestrian Thoroughfare
20242233,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,Local Road
20243014,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Local Road
20241198,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20242249,Melbourne - Outer East,Maroondah,Major Cities of Australia,Arterial Road
20243154,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20241100,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Collector Road
20241074,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20243263,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20242016,Melbourne - West,Maribyrnong,Major Cities of Australia,National or State Highway
20244017,South Australia - Outback,Unincorporated SA,Remote Australia,Sub-arterial Road
20244009,Adelaide - South,Marion,Major Cities of Australia,Collector Road
20242085,Melbourne - North East,Darebin,Major Cities of Australia,Sub-arterial Road
20244012,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
20243205,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20241035,Sydney - Blacktown,Blacktown,Major Cities of Australia,Access road
20241161,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20241062,Far West and Orana,Dubbo,Inner Regional Australia,National or State Highway
20243119,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20241155,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,National or State Highway
20243152,Gold Coast,Gold Coast,Inner Regional Australia,Sub-arterial Road
20243053,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20241039,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Arterial Road
20242154,North West,Mildura,Outer Regional Australia,National or State Highway
20243215,Brisbane - North,Brisbane,Major Cities of Australia,National or State Highway
20243026,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20241050,Sydney - North Sydney and Hornsby,Hornsby,Inner Regional Australia,National or State Highway
20243271,Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
20241133,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,National or State Highway
20248008,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20244037,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Local Road
20242143,Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road
20241273,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Local Road
20242067,Melbourne - South East,Monash,Major Cities of Australia,National or State Highway
20242214,Hume,Mansfield,Outer Regional Australia,Arterial Road
20243238,Townsville,Charters Towers,Very Remote Australia,National or State Highway
20242011,Warrnambool and South West,Warrnambool,Inner Regional Australia,Local Road
20241180,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
20241059,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Local Road
20241021,Sydney - South West,Fairfield,Major Cities of Australia,Collector Road
20242254,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,National or State Highway
20243256,Cairns,Cairns,Outer Regional Australia,Collector Road
20241245,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Sub-arterial Road
20243126,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Sub-arterial Road
20244082,Barossa - Yorke - Mid North,Light,Inner Regional Australia,Sub-arterial Road
20241108,Sydney - Parramatta,Parramatta,Major Cities of Australia,Arterial Road
20242137,Ballarat,Ballarat,Inner Regional Australia,Local Road
20241005,Sydney - Sutherland,Sutherland,Inner Regional Australia,Arterial Road
20241051,Central West,Mid-Western,Inner Regional Australia,Sub-arterial Road
20243128,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
20242109,Melbourne - North West,Hume,Major Cities of Australia,Arterial Road
20241116,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road
20243226,Ipswich,Ipswich,Inner Regional Australia,National or State Highway
20242092,Melbourne - Inner South,Glen Eira,Major Cities of Australia,National or State Highway
20242125,Melbourne - South East,Greater Dandenong,Major Cities of Australia,Arterial Road
20244077,South Australia - South East,Alexandrina,Inner Regional Australia,Arterial Road
20242049,Melbourne - South East,Monash,Major Cities of Australia,Local Road
20243265,Ipswich,Ipswich,Major Cities of Australia,Local Road
20243122,Wide Bay,Fraser Coast,Inner Regional Australia,Collector Road
20243151,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Local Road
20241283,Central West,Cabonne,Outer Regional Australia,Sub-arterial Road
20242262,Melbourne - North East,Nillumbik,Major Cities of Australia,Arterial Road
20242100,North West,Yarriambiack,Remote Australia,National or State Highway
20242211,Bendigo,Greater Bendigo,Inner Regional Australia,Local Road
20241168,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
